place_id,place_name,aspect_name,mention_count,avg_aspect_sentiment_score,positive_mentions,neutral_mentions,negative_mentions,positive_ratio,neutral_ratio,negative_ratio
rebirth,Rebirth,價格,34,0.3161764705882353,11,17,6,0.3235294117647059,0.5,0.17647058823529413
rebirth,Rebirth,出餐速度,76,0.3333333333333333,26,42,8,0.34210526315789475,0.5526315789473685,0.10526315789473684
rebirth,Rebirth,功能用途,70,0.4607142857142857,24,38,8,0.34285714285714286,0.5428571428571428,0.11428571428571428
rebirth,Rebirth,店員/服務,234,0.6608262108262108,104,119,11,0.4444444444444444,0.5085470085470085,0.04700854700854701
rebirth,Rebirth,正餐,241,0.6719301445442525,107,121,13,0.44398340248962653,0.5020746887966805,0.05394190871369295
rebirth,Rebirth,氛圍/風格,61,0.7909836065573771,32,21,8,0.5245901639344263,0.3442622950819672,0.13114754098360656
rebirth,Rebirth,甜點,30,0.9666666666666667,16,13,1,0.5333333333333333,0.43333333333333335,0.03333333333333333
rebirth,Rebirth,衛生/整潔,78,-0.31196581196581197,13,31,34,0.16666666666666666,0.3974358974358974,0.4358974358974359
rebirth,Rebirth,飲品,113,0.5936578171091444,49,53,11,0.4336283185840708,0.4690265486725664,0.09734513274336283
xuekewu,雪可屋,價格,31,0.6048387096774194,13,12,6,0.41935483870967744,0.3870967741935484,0.1935483870967742
xuekewu,雪可屋,出餐速度,16,0.875,8,7,1,0.5,0.4375,0.0625
xuekewu,雪可屋,功能用途,74,0.6505255255255254,29,41,4,0.3918918918918919,0.5540540540540541,0.05405405405405406
xuekewu,雪可屋,店員/服務,130,0.40705128205128205,36,87,7,0.27692307692307694,0.6692307692307692,0.05384615384615385
xuekewu,雪可屋,正餐,149,0.6717002237136465,61,80,8,0.40939597315436244,0.5369127516778524,0.053691275167785234
xuekewu,雪可屋,氛圍/風格,110,0.8416666666666667,60,46,4,0.5454545454545454,0.41818181818181815,0.03636363636363636
xuekewu,雪可屋,甜點,23,1.1231884057971013,15,7,1,0.6521739130434783,0.30434782608695654,0.043478260869565216
xuekewu,雪可屋,衛生/整潔,18,0.1111111111111111,6,8,4,0.3333333333333333,0.4444444444444444,0.2222222222222222
xuekewu,雪可屋,飲品,220,0.7239772727272727,102,112,6,0.4636363636363636,0.509090909090909,0.02727272727272727
yangtiaozao,羊跳蚤,價格,7,0.35714285714285715,2,3,2,0.2857142857142857,0.42857142857142855,0.2857142857142857
yangtiaozao,羊跳蚤,出餐速度,5,0.4,1,4,0,0.2,0.8,0.0
yangtiaozao,羊跳蚤,功能用途,21,0.6904761904761905,10,11,0,0.47619047619047616,0.5238095238095238,0.0
yangtiaozao,羊跳蚤,店員/服務,108,0.43441358024691357,35,68,5,0.32407407407407407,0.6296296296296297,0.046296296296296294
yangtiaozao,羊跳蚤,正餐,89,0.4606741573033708,28,56,5,0.3146067415730337,0.6292134831460674,0.056179775280898875
yangtiaozao,羊跳蚤,氛圍/風格,63,0.8055555555555556,29,33,1,0.4603174603174603,0.5238095238095238,0.015873015873015872
yangtiaozao,羊跳蚤,甜點,30,1.1694444444444445,18,11,1,0.6,0.36666666666666664,0.03333333333333333
yangtiaozao,羊跳蚤,衛生/整潔,13,-0.3269230769230769,3,3,7,0.23076923076923078,0.23076923076923078,0.5384615384615384
yangtiaozao,羊跳蚤,飲品,72,0.8435185185185186,35,34,3,0.4861111111111111,0.4722222222222222,0.041666666666666664
