scope,place_id,aspect_name,sample_count,pearson_r,spearman_r
all,all,整體情緒,868,0.42558444660843664,0.39082384254230695
all,all,飲品,237,0.5041630033134148,0.3848257417097266
all,all,正餐,262,0.4581529852688317,0.36384056705062817
all,all,甜點,54,0.3393398697878364,0.3276435431039735
all,all,功能用途,84,0.6859769447944798,0.5852521787411288
all,all,氛圍/風格,139,0.5544947711505387,0.45329841289792966
all,all,店員/服務,224,0.4797277132533516,0.33230743599999507
all,all,價格,42,0.7016125590065284,0.6520032144578578
all,all,衛生/整潔,71,0.6090493977761665,0.590991917073075
all,all,出餐速度,47,0.6426027145611208,0.4661592372821749
place,rebirth,整體情緒,360,0.514161761798308,0.48772273428005125
place,rebirth,飲品,68,0.628956388723545,0.537157021875805
place,rebirth,正餐,146,0.44269144255858395,0.30447863357796495
place,rebirth,甜點,17,0.0883906025393898,0.17858558162445304
place,rebirth,功能用途,37,0.7613612616192155,0.7024409865823404
place,rebirth,氛圍/風格,41,0.7523889619541879,0.6800738334402808
place,rebirth,店員/服務,128,0.4610162425654748,0.28965103698656863
place,rebirth,價格,18,0.6206824501061942,0.5226237656074927
place,rebirth,衛生/整潔,50,0.6196622238359509,0.569998517915486
place,rebirth,出餐速度,36,0.6882772669632368,0.4651908099912972
place,xuekewu,整體情緒,352,0.36111680793099793,0.3141031374880032
place,xuekewu,飲品,127,0.3739983339359984,0.32455611200678686
place,xuekewu,正餐,83,0.5036561853971758,0.44983257069101235
place,xuekewu,甜點,17,0.1966667040980903,0.15938862021501826
place,xuekewu,功能用途,37,0.5975420239775507,0.566067875322032
place,xuekewu,氛圍/風格,68,0.3409779708582949,0.35625943703569823
place,xuekewu,店員/服務,52,0.5316963009219527,0.41489080768178505
place,xuekewu,價格,20,0.7643230563926218,0.7360269283764546
place,xuekewu,衛生/整潔,11,0.7720045997817889,0.7596153846153846
place,xuekewu,出餐速度,9,0.6738202810148577,0.696969696969697
place,yangtiaozao,整體情緒,156,0.3497909588331528,0.3497812499260375
place,yangtiaozao,飲品,42,0.3815707267499089,0.26760461080222325
place,yangtiaozao,正餐,33,0.44639376103079276,0.4746284854016064
place,yangtiaozao,甜點,20,0.5593368365329505,0.5881868142683891
place,yangtiaozao,功能用途,10,0.11276681535363925,0.0
place,yangtiaozao,氛圍/風格,30,0.07936524260020095,0.10209384362213399
place,yangtiaozao,店員/服務,44,0.45243461236144217,0.3804809084952952
place,yangtiaozao,價格,4,,
place,yangtiaozao,衛生/整潔,10,0.4427757924411365,0.554256522196772
place,yangtiaozao,出餐速度,2,,
