place_id,term,term_count,rank
bailemen_jiuguan,氣氛,45,1
bailemen_jiuguan,服務,35,2
bailemen_jiuguan,餐點,32,3
bailemen_jiuguan,酒吧,23,4
bailemen_jiuguan,表演,21,5
bailemen_jiuguan,高雄,19,6
bailemen_jiuguan,音樂,15,7
bailemen_jiuguan,用餐,12,8
bailemen_jiuguan,吵雜,12,9
bailemen_jiuguan,地方,11,10
bailemen_jiuguan,座位,11,11
bailemen_jiuguan,很棒,11,12
bailemen_jiuguan,不錯,10,13
bailemen_jiuguan,吧台,10,14
bailemen_jiuguan,演出,10,15
bailemen_jiuguan,百樂門,10,16
bailemen_jiuguan,空間,8,17
bailemen_jiuguan,調酒,8,18
bailemen_jiuguan,時間,7,19
bailemen_jiuguan,這裡,7,20
bailemen_jiuguan,還有,7,21
bailemen_jiuguan,等待,6,22
bailemen_jiuguan,現場,6,23
bailemen_jiuguan,dj,6,24
bailemen_jiuguan,親切,6,25
