place_id,place_name,review_unique_key,review_id,source_url,reviewer_name,reviewer_profile_url,review_text,star_rating,review_date_text,review_date_estimated,review_date_precision,likes_count,owner_response_text,owner_response_date,has_owner_response,scraped_at,low_frequency_json,has_text,text_length,review_date_estimated_dt,year,year_month,spend_amount_min,spend_amount_max,spend_amount_mid,has_spend_amount,google_food_rating,google_service_rating,google_atmosphere_rating,has_google_food_rating,has_google_service_rating,has_google_atmosphere_rating,sentiment_score,sentiment_label,low_frequency_payload
xuekewu,雪可屋,37547f61bdfada966c73dad940f01b38b72a05f5b89d720aed074e10c275eccb,ChZDSUhNMG9nS0VJQ0FnSURnOU1QZkdREAE,"https://www.google.com/maps/place/%E9%9B%AA%E5%8F%AF%E5%B1%8B/@25.0196006,121.5298194,17z/data=!4m8!3m7!1s0x3442a98969f98ae7:0x775927aa7e75fc48!8m2!3d25.0196006!4d121.5323943!9m1!1b1!16s%2Fg%2F1tdhbqk2?hl=zh-TW&entry=ttu&g_ep=EgoyMDI2MDMyMy4xIKXMDSoASAFQAw%3D%3D",Lucky Tan,,"老店,咖啡豆自己烘培",3.0,9 年前,2017-03-26,year,0,,,0,2026-03-26T02:23:37.575440+00:00,"{""review_language"": null, ""raw_review_metadata"": {""review_id"": ""ChZDSUhNMG9nS0VJQ0FnSURnOU1QZkdREAE"", ""relative_date_text"": ""9 年前"", ""google_place_token"": ""0x3442a98969f98ae7-0x775927aa7e75fc48""}}",True,10,2017-03-26,2017,2017-03,,,,False,,,,False,False,False,0.0,neutral,"{'review_language': None, 'raw_review_metadata': {'review_id': 'ChZDSUhNMG9nS0VJQ0FnSURnOU1QZkdREAE', 'relative_date_text': '9 年前', 'google_place_token': '0x3442a98969f98ae7-0x775927aa7e75fc48'}}"
xuekewu,雪可屋,03e40e4560f00e9ca0d45a050589830f07473d096be067f8f7c76d6c1b841930,ChdDSUhNMG9nS0VJQ0FnSURVNnZ5eTJnRRAB,"https://www.google.com/maps/place/%E9%9B%AA%E5%8F%AF%E5%B1%8B/@25.0196006,121.5298194,17z/data=!4m8!3m7!1s0x3442a98969f98ae7:0x775927aa7e75fc48!8m2!3d25.0196006!4d121.5323943!9m1!1b1!16s%2Fg%2F1tdhbqk2?hl=zh-TW&entry=ttu&g_ep=EgoyMDI2MDMyMy4xIKXMDSoASAFQAw%3D%3D",Arya Dharmadi,,好的,4.0,6 年前,2020-03-26,year,0,,,0,2026-03-26T02:23:37.392287+00:00,"{""review_language"": null, ""raw_review_metadata"": {""review_id"": ""ChdDSUhNMG9nS0VJQ0FnSURVNnZ5eTJnRRAB"", ""relative_date_text"": ""6 年前"", ""google_place_token"": ""0x3442a98969f98ae7-0x775927aa7e75fc48""}}",True,2,2020-03-26,2020,2020-03,,,,False,,,,False,False,False,0.0,neutral,"{'review_language': None, 'raw_review_metadata': {'review_id': 'ChdDSUhNMG9nS0VJQ0FnSURVNnZ5eTJnRRAB', 'relative_date_text': '6 年前', 'google_place_token': '0x3442a98969f98ae7-0x775927aa7e75fc48'}}"
xuekewu,雪可屋,efd317c5c879f98f5168e3b510223609b7be46aeab0ecd17705b89c75a3e228b,ChdDSUhNMG9nS0VJQ0FnSURkbTREZ3NnRRAB,"https://www.google.com/maps/place/%E9%9B%AA%E5%8F%AF%E5%B1%8B/@25.0196006,121.5298194,17z/data=!4m8!3m7!1s0x3442a98969f98ae7:0x775927aa7e75fc48!8m2!3d25.0196006!4d121.5323943!9m1!1b1!16s%2Fg%2F1tdhbqk2?hl=zh-TW&entry=ttu&g_ep=EgoyMDI2MDMyMy4xIKXMDSoASAFQAw%3D%3D",Ren Yang,,珍珠奶茶很好喝😋服務內用餐點類型晚餐平均每人消費金額$200-400餐點:5服務:5氣氛:5,5.0,2 年前,2024-03-26,year,0,,,0,2026-03-26T02:23:36.743314+00:00,"{""review_language"": null, ""raw_review_metadata"": {""review_id"": ""ChdDSUhNMG9nS0VJQ0FnSURkbTREZ3NnRRAB"", ""relative_date_text"": ""2 年前"", ""google_place_token"": ""0x3442a98969f98ae7-0x775927aa7e75fc48""}}",True,46,2024-03-26,2024,2024-03,200.0,400.0,300.0,True,5.0,5.0,5.0,True,True,True,1.5,positive,"{'review_language': None, 'raw_review_metadata': {'review_id': 'ChdDSUhNMG9nS0VJQ0FnSURkbTREZ3NnRRAB', 'relative_date_text': '2 年前', 'google_place_token': '0x3442a98969f98ae7-0x775927aa7e75fc48'}}"
xuekewu,雪可屋,8c5077810d0913376165a92cb58be4e6c98f1474bb17584a886027bde6cf7994,ChZDSUhNMG9nS0VJQ0FnSURHZ18tNEx3EAE,"https://www.google.com/maps/place/%E9%9B%AA%E5%8F%AF%E5%B1%8B/@25.0196006,121.5298194,17z/data=!4m8!3m7!1s0x3442a98969f98ae7:0x775927aa7e75fc48!8m2!3d25.0196006!4d121.5323943!9m1!1b1!16s%2Fg%2F1tdhbqk2?hl=zh-TW&entry=ttu&g_ep=EgoyMDI2MDMyMy4xIKXMDSoASAFQAw%3D%3D",仇皓潔Chyou,,雪可屋2.0,5.0,4 年前,2022-03-26,year,0,,,0,2026-03-26T02:23:36.152154+00:00,"{""review_language"": null, ""raw_review_metadata"": {""review_id"": ""ChZDSUhNMG9nS0VJQ0FnSURHZ18tNEx3EAE"", ""relative_date_text"": ""4 年前"", ""google_place_token"": ""0x3442a98969f98ae7-0x775927aa7e75fc48""}}",True,6,2022-03-26,2022,2022-03,,,,False,,,,False,False,False,0.0,neutral,"{'review_language': None, 'raw_review_metadata': {'review_id': 'ChZDSUhNMG9nS0VJQ0FnSURHZ18tNEx3EAE', 'relative_date_text': '4 年前', 'google_place_token': '0x3442a98969f98ae7-0x775927aa7e75fc48'}}"
xuekewu,雪可屋,969378925a767c12c636a79299a7d49b84f547bf6e42e41be9fe8ccd344ddd74,ChdDSUhNMG9nS0VJQ0FnSURRbnBhRHJRRRAB,"https://www.google.com/maps/place/%E9%9B%AA%E5%8F%AF%E5%B1%8B/@25.0196006,121.5298194,17z/data=!4m8!3m7!1s0x3442a98969f98ae7:0x775927aa7e75fc48!8m2!3d25.0196006!4d121.5323943!9m1!1b1!16s%2Fg%2F1tdhbqk2?hl=zh-TW&entry=ttu&g_ep=EgoyMDI2MDMyMy4xIKXMDSoASAFQAw%3D%3D",Bacon Lee,,"地方不錯,就是沒有充電器,也沒有Wi-Fi。",5.0,7 年前,2019-03-26,year,0,,,0,2026-03-26T02:23:36.044224+00:00,"{""review_language"": null, ""raw_review_metadata"": {""review_id"": ""ChdDSUhNMG9nS0VJQ0FnSURRbnBhRHJRRRAB"", ""relative_date_text"": ""7 年前"", ""google_place_token"": ""0x3442a98969f98ae7-0x775927aa7e75fc48""}}",True,22,2019-03-26,2019,2019-03,,,,False,,,,False,False,False,1.0,positive,"{'review_language': None, 'raw_review_metadata': {'review_id': 'ChdDSUhNMG9nS0VJQ0FnSURRbnBhRHJRRRAB', 'relative_date_text': '7 年前', 'google_place_token': '0x3442a98969f98ae7-0x775927aa7e75fc48'}}"
xuekewu,雪可屋,b87553b497fca7f814bb6e309e33792710c3293d74b75cc4848760477442451f,ChdDSUhNMG9nS0VJQ0FnSUNpMXU2VTVBRRAB,"https://www.google.com/maps/place/%E9%9B%AA%E5%8F%AF%E5%B1%8B/@25.0196006,121.5298194,17z/data=!4m8!3m7!1s0x3442a98969f98ae7:0x775927aa7e75fc48!8m2!3d25.0196006!4d121.5323943!9m1!1b1!16s%2Fg%2F1tdhbqk2?hl=zh-TW&entry=ttu&g_ep=EgoyMDI2MDMyMy4xIKXMDSoASAFQAw%3D%3D",Che,,台北最適合和朋友聚會的地方之一。餐點:4服務:4氣氛:5,5.0,上次編輯：3 年前,2023-03-26,year,0,,,0,2026-03-26T02:22:49.761017+00:00,"{""review_language"": null, ""raw_review_metadata"": {""review_id"": ""ChdDSUhNMG9nS0VJQ0FnSUNpMXU2VTVBRRAB"", ""relative_date_text"": ""上次編輯：3 年前"", ""google_place_token"": ""0x3442a98969f98ae7-0x775927aa7e75fc48""}}",True,28,2023-03-26,2023,2023-03,,,,False,4.0,4.0,5.0,True,True,True,0.0,neutral,"{'review_language': None, 'raw_review_metadata': {'review_id': 'ChdDSUhNMG9nS0VJQ0FnSUNpMXU2VTVBRRAB', 'relative_date_text': '上次編輯：3 年前', 'google_place_token': '0x3442a98969f98ae7-0x775927aa7e75fc48'}}"
xuekewu,雪可屋,e91408c84b4adb9c5aa18f14939ac94497ef86b47bbe79fbf80708902ef4dd71,Ci9DQUlRQUNvZENodHljRjlvT2xCMmFtNWFNMlpJT1ZOSlZFVnljRmRhTVRsR2RFRRAB,"https://www.google.com/maps/place/%E9%9B%AA%E5%8F%AF%E5%B1%8B/@25.0196006,121.5298194,17z/data=!4m8!3m7!1s0x3442a98969f98ae7:0x775927aa7e75fc48!8m2!3d25.0196006!4d121.5323943!9m1!1b1!16s%2Fg%2F1tdhbqk2?hl=zh-TW&entry=ttu&g_ep=EgoyMDI2MDMyMy4xIKXMDSoASAFQAw%3D%3D",lilsl,,Nice喔,5.0,2 個月前,2026-01-26,month,0,,,0,2026-03-26T02:22:49.338253+00:00,"{""review_language"": null, ""raw_review_metadata"": {""review_id"": ""Ci9DQUlRQUNvZENodHljRjlvT2xCMmFtNWFNMlpJT1ZOSlZFVnljRmRhTVRsR2RFRRAB"", ""relative_date_text"": ""2 個月前"", ""google_place_token"": ""0x3442a98969f98ae7-0x775927aa7e75fc48""}}",True,5,2026-01-26,2026,2026-01,,,,False,,,,False,False,False,0.0,neutral,"{'review_language': None, 'raw_review_metadata': {'review_id': 'Ci9DQUlRQUNvZENodHljRjlvT2xCMmFtNWFNMlpJT1ZOSlZFVnljRmRhTVRsR2RFRRAB', 'relative_date_text': '2 個月前', 'google_place_token': '0x3442a98969f98ae7-0x775927aa7e75fc48'}}"
xuekewu,雪可屋,1583d983fda3c035645ca0694f6c7e6017c0bc5fc88a8ba5c33e218d57c411b0,ChZDSUhNMG9nS0VJQ0FnSURLOExqSkhBEAE,"https://www.google.com/maps/place/%E9%9B%AA%E5%8F%AF%E5%B1%8B/@25.0196006,121.5298194,17z/data=!4m8!3m7!1s0x3442a98969f98ae7:0x775927aa7e75fc48!8m2!3d25.0196006!4d121.5323943!9m1!1b1!16s%2Fg%2F1tdhbqk2?hl=zh-TW&entry=ttu&g_ep=EgoyMDI2MDMyMy4xIKXMDSoASAFQAw%3D%3D",cafesurfing,,"好地方,食物和咖啡都很棒! !",5.0,4 年前,2022-03-26,year,1,,,0,2026-03-26T02:22:48.500965+00:00,"{""review_language"": null, ""raw_review_metadata"": {""review_id"": ""ChZDSUhNMG9nS0VJQ0FnSURLOExqSkhBEAE"", ""relative_date_text"": ""4 年前"", ""google_place_token"": ""0x3442a98969f98ae7-0x775927aa7e75fc48""}}",True,15,2022-03-26,2022,2022-03,,,,False,,,,False,False,False,0.0,neutral,"{'review_language': None, 'raw_review_metadata': {'review_id': 'ChZDSUhNMG9nS0VJQ0FnSURLOExqSkhBEAE', 'relative_date_text': '4 年前', 'google_place_token': '0x3442a98969f98ae7-0x775927aa7e75fc48'}}"
xuekewu,雪可屋,915d4d4157527d5ec6aeb064c4a4d81eea6e25fc2c38f3a527e8a3c63619bbc2,ChdDSUhNMG9nS0VJQ0FnSURJNlp1djlRRRAB,"https://www.google.com/maps/place/%E9%9B%AA%E5%8F%AF%E5%B1%8B/@25.0196006,121.5298194,17z/data=!4m8!3m7!1s0x3442a98969f98ae7:0x775927aa7e75fc48!8m2!3d25.0196006!4d121.5323943!9m1!1b1!16s%2Fg%2F1tdhbqk2?hl=zh-TW&entry=ttu&g_ep=EgoyMDI2MDMyMy4xIKXMDSoASAFQAw%3D%3D",呂慈,,沒人說 牛肉飯跟咖哩雞肉飯不錯吃 是家常飯類型的 晚上九點半在附近 遇到雪可屋很幸運 鹵豆乾很推,4.0,7 年前,2019-03-26,year,0,,,0,2026-03-26T02:22:48.406574+00:00,"{""review_language"": null, ""raw_review_metadata"": {""review_id"": ""ChdDSUhNMG9nS0VJQ0FnSURJNlp1djlRRRAB"", ""relative_date_text"": ""7 年前"", ""google_place_token"": ""0x3442a98969f98ae7-0x775927aa7e75fc48""}}",True,48,2019-03-26,2019,2019-03,,,,False,,,,False,False,False,1.0,positive,"{'review_language': None, 'raw_review_metadata': {'review_id': 'ChdDSUhNMG9nS0VJQ0FnSURJNlp1djlRRRAB', 'relative_date_text': '7 年前', 'google_place_token': '0x3442a98969f98ae7-0x775927aa7e75fc48'}}"
xuekewu,雪可屋,0d83396dd0c914c60da9da65c6005a459df89d1c3249fc5896d25f197446b8fa,ChdDSUhNMG9nS0VJQ0FnSUQwemVqTGt3RRAB,"https://www.google.com/maps/place/%E9%9B%AA%E5%8F%AF%E5%B1%8B/@25.0196006,121.5298194,17z/data=!4m8!3m7!1s0x3442a98969f98ae7:0x775927aa7e75fc48!8m2!3d25.0196006!4d121.5323943!9m1!1b1!16s%2Fg%2F1tdhbqk2?hl=zh-TW&entry=ttu&g_ep=EgoyMDI2MDMyMy4xIKXMDSoASAFQAw%3D%3D",Elizabeth Miller,,"一家風格古樸的咖啡館,咖啡很棒,小吃也很美味。是放鬆、安靜交談和學習的好去處。",5.0,6 年前,2020-03-26,year,0,,,0,2026-03-26T02:22:48.309826+00:00,"{""review_language"": null, ""raw_review_metadata"": {""review_id"": ""ChdDSUhNMG9nS0VJQ0FnSUQwemVqTGt3RRAB"", ""relative_date_text"": ""6 年前"", ""google_place_token"": ""0x3442a98969f98ae7-0x775927aa7e75fc48""}}",True,39,2020-03-26,2020,2020-03,,,,False,,,,False,False,False,2.5,positive,"{'review_language': None, 'raw_review_metadata': {'review_id': 'ChdDSUhNMG9nS0VJQ0FnSUQwemVqTGt3RRAB', 'relative_date_text': '6 年前', 'google_place_token': '0x3442a98969f98ae7-0x775927aa7e75fc48'}}"
xuekewu,雪可屋,666b98a361ea79d6b07afa61540c6ee83e3d0bed4f4978e6e512bb4707b22a9d,ChZDSUhNMG9nS0VJQ0FnSURmXzZIR2NBEAE,"https://www.google.com/maps/place/%E9%9B%AA%E5%8F%AF%E5%B1%8B/@25.0196006,121.5298194,17z/data=!4m8!3m7!1s0x3442a98969f98ae7:0x775927aa7e75fc48!8m2!3d25.0196006!4d121.5323943!9m1!1b1!16s%2Fg%2F1tdhbqk2?hl=zh-TW&entry=ttu&g_ep=EgoyMDI2MDMyMy4xIKXMDSoASAFQAw%3D%3D",WY SETO,,一定要吃炸豆腐噢! !餐點:5服務:5氣氛:5,5.0,1 年前,2025-03-26,year,0,,,0,2026-03-26T02:22:48.174378+00:00,"{""review_language"": null, ""raw_review_metadata"": {""review_id"": ""ChZDSUhNMG9nS0VJQ0FnSURmXzZIR2NBEAE"", ""relative_date_text"": ""1 年前"", ""google_place_token"": ""0x3442a98969f98ae7-0x775927aa7e75fc48""}}",True,23,2025-03-26,2025,2025-03,,,,False,5.0,5.0,5.0,True,True,True,0.0,neutral,"{'review_language': None, 'raw_review_metadata': {'review_id': 'ChZDSUhNMG9nS0VJQ0FnSURmXzZIR2NBEAE', 'relative_date_text': '1 年前', 'google_place_token': '0x3442a98969f98ae7-0x775927aa7e75fc48'}}"
