place_id,term,term_count,rank
yangtiaozao,餐點,126,1
yangtiaozao,服務,124,2
yangtiaozao,氣氛,95,3
yangtiaozao,咖啡,52,4
yangtiaozao,內用,48,5
yangtiaozao,音樂,39,6
yangtiaozao,提拉米蘇,24,7
yangtiaozao,好喝,22,8
yangtiaozao,好吃,21,9
yangtiaozao,地方,19,10
yangtiaozao,適合,18,11
yangtiaozao,風格,16,12
yangtiaozao,不錯,15,13
yangtiaozao,喜歡,14,14
yangtiaozao,店員,14,15
yangtiaozao,座位,13,16
yangtiaozao,吵雜,13,17
yangtiaozao,朋友,13,18
yangtiaozao,這裡,12,19
yangtiaozao,氛圍,12,20
yangtiaozao,舒服,12,21
yangtiaozao,店裡,12,22
yangtiaozao,飲料,11,23
yangtiaozao,聊天,11,24
yangtiaozao,蚊子,11,25
